name;aliases;admin1;population;lat;lon
Berlin;Berleno|Berlien|Berliin|Berliini|Berlijn;BE;3426354;52.52437;13.41053
Hamburg;Hamboarch|Hamboerg|Hamboerj|Hamborg|Hambourg;HH;1973896;53.55073;9.99302
München;Munich|Lungsod ng Muenchen|Muenegh|Muenhen|Muenih;BY;1505005;48.13743;11.57549
Köln;Koelle|koelleun;NW;1024621;50.93333;6.95
Frankfurt am Main;Frankfurt/Main|Frankfurt|Franckfurt|Francfort|Francfort - Frankfurt am Main;HE;650000;50.11552;8.68417
Düsseldorf;Duesseldoerp|Duessldorf;NW;618685;51.22319;6.77927
Stuttgart;Stutgardia|Stutgartas|Stutgarte|Stutgarto|Stutqart;BW;612663;48.78232;9.17702
Essen;Esse;NW;593085;51.45657;7.01228
Dortmund;Dortmundas|Dortmunde|Dortmundi|Dortmundo|dortamunda;NW;588462;51.51494;7.466
Dresden;Dresda|Dresde|Dresdenas|Dresdeno|Dresdn;SN;564904;51.05089;13.73832
Bremen;Brema|Breme|Bremen hiria|Bremenas|Bremene;HB;546501;53.07582;8.80717
Nürnberg;Nuremberg|Nuernbarg|Nuernberq;BY;515543;49.45421;11.07752
Hannover;Hannauver|Hannober|Hannova|Hannovera|Hannovere;NI;515140;52.37052;9.73322
Leipzig;Leipciga|Leipcigas|Leipsia;SN;504971;51.33962;12.37129
Duisburg;Duisboerj|Duisborg|Duisbourg|Duisburch|Duisburg and Hamborn;NW;504358;51.43247;6.76516
Wandsbek;Hamburg-Wandsbek;HH;411422;53.58334;10.08305
Bochum;Bochoum|Bochumas;NW;385729;51.48165;7.21648
Wuppertal;Wupperdaal;NW;360797;51.25627;7.14816
Bielefeld;;NW;331906;52.03333;8.53333
Bonn;Bonna;NW;330579;50.73438;7.09549
Bezirk Hamburg-Nord;Hamburg-Nord;HH;315514;53.58935;9.984
Münster;Münster / Nordrhein-Westf.;NW;308258;51.96236;7.62571
Mannheim;;BW;307960;49.4891;8.46694
Bezirk Hamburg-Mitte;Hamburg-Mitte;HH;301231;53.55;10.01667
Augsburg;Augsburg-Innenstadt|Augsberg|Augsboerj|Augsborg|Augsbourg;BY;301105;48.37154;10.89851
Wiesbaden;;HE;288850;50.08601;8.24435
Hamburg-Marienthal;Marienthal;HH;287101;53.56667;10.08333
Karlsruhe;Karlsroue|Karlsrue|Karlsrueh|Karlsruje|karlsaruha;BW;283799;49.00937;8.40444
Gelsenkirchen;Gelsenkiaerken|gelsanakarsana;NW;270028;51.50508;7.09654
Eimsbüttel;Hamburg-Eimsbüttel|Bezirk Eimsbüttel|Distretto di Eimsbuettel|Hambourg-Eimsbuettel;HH;269118;53.57416;9.95679
Aachen;Kreisfreie Stadt Aachen|Achen|Lungsod ng Aachen;NW;265208;50.77664;6.08342
Mönchengladbach;moenhengeullateubaheu;NW;261742;51.18539;6.44172
Kiel;Kielia|Kielo;SH;252668;54.32133;10.13489
Altona;Bezirk Altona|Arrondissement dAltona|Distretto di Altona|Districte dAltona|Hamburg-Altona;HH;250192;53.55;9.93333
Chemnitz;Chemnicas|Chemnicium;SN;247220;50.8357;12.92922
Braunschweig;Braunshvajg|Braunshvejg|Braunshweyg|Braunsveiga|Braunsveigas;NI;244715;52.26594;10.52673
