plz;name;admin1;lat;lon
01053;Commerzbank AG;SN;51.0562;13.7323
01054;Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden;SN;51.0287;13.7369
01055;Dresdner Druck-u.Verlagshaus GmbH &Co.KG Unternehmensbereich Zeitungen;SN;51.0569;13.7287
01056;Finanzamt Dresden - Nord;SN;51.0355;13.7404
01057;HUK-Coburg;SN;51.0456;13.7387
01058;AOK Sachsen - Die Gesundheitskasse;SN;51.0466;13.7268
01059;Deutsche Telekom AG, GSUS;SN;51.0826;13.7258
01060;Mitteldeutscher Rundfunk Landesfunkhaus Sachsen;SN;51.1037;13.7709
01062;Technische Universität;SN;51.0289;13.7239
01063;Deutsche Post AG HR Service Germany;SN;51.0334;13.7072
01064;ENSO Energie Sachsen Ost AG;SN;51.0387;13.7327
01065;DREWAG - Stadtwerke Dresden GmbH;SN;51.0387;13.7327
01067;Dresden;;51.0547;13.7269
01069;Dresden;;51.043;13.7373
01070;Deutsche Post AG HR Service Germany;SN;51.0334;13.7072
01095;Ministerpräsident des Freistaates Sachsen;SN;51.0573;13.7493
01097;Dresden;;51.0714;13.7399
01099;Dresden;;51.0783;13.8051
01108;Weixdorf;;51.1481;13.7983
01109;Klotzsche;;51.1105;13.7686
01127;Dresden;;51.079;13.7208
01129;Dresden;;51.0967;13.736
01139;Dresden;;51.0836;13.6981
01156;Dresden Gompitz, Roitzsch;;51.0551;13.6071
01157;Dresden;;51.0707;13.6729
01159;Dresden;;51.0452;13.6996
01169;Dresden;;51.0443;13.6738
01187;Dresden;;51.0281;13.6943
01189;Dresden;;51.05;13.75
01213;Agentur für Arbeit Dresden;SN;51.0408;13.7198
01217;Dresden;;51.05;13.75
01219;Dresden;;51.021;13.7679
01237;Dresden;;51.013;13.7988
01239;Dresden;;51.0066;13.8089
01255;R + V Versicherung Filialdirektion Dresden;SN;51.0533;13.783
01257;Dresden;;51.0114;13.8054
01259;Dresden;;51.05;13.75
01264;Finanzamt Dresden - Süd;SN;51.0355;13.7404
01277;Dresden;;51.05;13.75
01279;Dresden Tolkewitz;;51.035;13.8102
01303;ZBI GmbH;SN;51.0536;13.7608
01304;Universitätsklinikum Carl Gustav Carus der TU Dresden;SN;51.0517;13.777
01305;Ostsächsische Sparkasse Dresden;SN;51.054;13.7588
01307;Dresden;;51.05;13.75
01309;Dresden;;51.05;13.75
01324;Dresden;;51.05;13.75
01326;Dresden;;51.0538;13.8155
01328;Dresden;;51.05;13.75
01332;Amazon FC WRO2;SN;51.178;13.8417
01333;Deutsche Post AG Niederlassung BRIEF Dresden;SN;51.1802;13.8384
01445;Radebeul;;51.1065;13.6605
01454;Radeberg;;51.1111;13.912
01458;Ottendorf-Okrilla;;51.1833;13.8333
01465;Dresden Langebrück;;51.1333;13.85
01468;Moritzburg;;51.1592;13.6802
01471;Radeburg;;51.2152;13.7281
01477;Arnsdorf;;51.0942;13.9918
01558;Großenhain;;51.2895;13.5335
01561;Lampertswalde;;51.3111;13.6769
01585;Agentur für Arbeit Riesa;SN;51.3068;13.2854
01587;Riesa;;51.2991;13.2848
01589;Riesa;;51.3026;13.3097
01591;Riesa;;51.3;13.3
01594;Stauchitz;;51.2435;13.2144
01609;Wülknitz;;51.3667;13.4
01612;Diesbar-Seußlitz;;51.2733;13.4167
01616;Strehla;;51.3525;13.2266
01619;Zeithain;;51.3336;13.3381
01623;Ketzerbachtal;;51.1116;13.3109
01640;Coswig;;51.132;13.5831
01662;Meißen;;51.1649;13.4859
01665;Klipphausen;;51.0684;13.5137
01683;Heynitz;;51.0926;13.3833
01689;Niederau;;51.144;13.5707
01705;Freital;;51.0017;13.6488
01723;Wilsdruff;;51.052;13.5366
01728;Bannewitz;;50.9929;13.7171
01730;Klinik Bavaria;SN;50.9462;13.7706
01731;Kreischa;;50.9453;13.7551
01734;Rabenau;;50.9648;13.6431
01737;Tharandt;;50.9791;13.5236
01738;Dorfhain;;50.9333;13.5667
01744;Dippoldiswalde;;50.8962;13.6691
01762;Hartmannsdorf-Reichenau;;50.8167;13.575
01768;Reinhardtsgrimma;;50.8927;13.7553
01773;Altenberg;;50.7656;13.7533
01774;Pretzschendorf;;50.8739;13.525
01776;Hermsdorf/Erzgebirge;;50.75;13.6333
01778;Geising;;50.7574;13.7928
01793;Agentur für Arbeit Pirna;SN;50.9544;13.9414
01796;Struppen;;50.9333;14.0167
01809;Heidenau;;50.9722;13.8674
01814;Reinhardtsdorf-Schöna;;50.895;14.2
